version,section_code,section_label,division_code,division_label,group_code,group_label,class_code,class_label,subclass_code,subclass_label,notes_include,notes_exclude,source_url,source_reference
NAF 2025,A,"AGRICULTURE, SYLVICULTURE ET PÊCHE",01,"Culture et production animale, chasse et services annexes",01.1,Cultures non permanentes,01.11,"Culture de céréales, à l’exception du riz, de légumineuses et de graines oléagineuses",01.11Y,"Culture de céréales, à l’exception du riz, de légumineuses et de graines oléagineuses",,,https://www.insee.fr/fr/metadonnees/naf2025/sousClasse/01.11Y,Insee — NAF 2025 — sous-classe 01.11Y
NAF 2025,A,"AGRICULTURE, SYLVICULTURE ET PÊCHE",01,"Culture et production animale, chasse et services annexes",01.1,Cultures non permanentes,01.12,Culture du riz,01.12Y,Culture du riz,,,https://www.insee.fr/fr/metadonnees/naf2025/sousClasse/01.12Y,Insee — NAF 2025 — sous-classe 01.12Y
NAF 2025,A,"AGRICULTURE, SYLVICULTURE ET PÊCHE",01,"Culture et production animale, chasse et services annexes",01.1,Cultures non permanentes,01.13,"Culture de légumes, de melons, de racines et de tubercules",01.13Y,"Culture de légumes, de melons, de racines et de tubercules",,,https://www.insee.fr/fr/metadonnees/naf2025/sousClasse/01.13Y,Insee — NAF 2025 — sous-classe 01.13Y
NAF 2025,A,"AGRICULTURE, SYLVICULTURE ET PÊCHE",01,"Culture et production animale, chasse et services annexes",01.1,Cultures non permanentes,01.14,Culture de la canne à sucre,01.14Y,Culture de la canne à sucre,,,https://www.insee.fr/fr/metadonnees/naf2025/sousClasse/01.14Y,Insee — NAF 2025 — sous-classe 01.14Y
NAF 2025,A,"AGRICULTURE, SYLVICULTURE ET PÊCHE",01,"Culture et production animale, chasse et services annexes",01.1,Cultures non permanentes,01.15,Culture du tabac,01.15Y,Culture du tabac,,,https://www.insee.fr/fr/metadonnees/naf2025/sousClasse/01.15Y,Insee — NAF 2025 — sous-classe 01.15Y
NAF 2025,A,"AGRICULTURE, SYLVICULTURE ET PÊCHE",01,"Culture et production animale, chasse et services annexes",01.1,Cultures non permanentes,01.16,Culture de plantes à fibres,01.16Y,Culture de plantes à fibres,,,https://www.insee.fr/fr/metadonnees/naf2025/sousClasse/01.16Y,Insee — NAF 2025 — sous-classe 01.16Y
NAF 2025,A,"AGRICULTURE, SYLVICULTURE ET PÊCHE",01,"Culture et production animale, chasse et services annexes",01.1,Cultures non permanentes,01.19,Autres cultures non permanentes,01.19Y,Autres cultures non permanentes,,,https://www.insee.fr/fr/metadonnees/naf2025/sousClasse/01.19Y,Insee — NAF 2025 — sous-classe 01.19Y
NAF 2025,A,"AGRICULTURE, SYLVICULTURE ET PÊCHE",01,"Culture et production animale, chasse et services annexes",01.2,Cultures permanentes,01.21,Culture de la vigne,01.21Y,Culture de la vigne,,,https://www.insee.fr/fr/metadonnees/naf2025/sousClasse/01.21Y,Insee — NAF 2025 — sous-classe 01.21Y
NAF 2025,A,"AGRICULTURE, SYLVICULTURE ET PÊCHE",01,"Culture et production animale, chasse et services annexes",01.2,Cultures permanentes,01.22,Culture de fruits tropicaux et subtropicaux,01.22Y,Culture de fruits tropicaux et subtropicaux,,,https://www.insee.fr/fr/metadonnees/naf2025/sousClasse/01.22Y,Insee — NAF 2025 — sous-classe 01.22Y
NAF 2025,A,"AGRICULTURE, SYLVICULTURE ET PÊCHE",01,"Culture et production animale, chasse et services annexes",01.2,Cultures permanentes,01.23,Culture d’agrumes,01.23Y,Culture d’agrumes,,,https://www.insee.fr/fr/metadonnees/naf2025/sousClasse/01.23Y,Insee — NAF 2025 — sous-classe 01.23Y
NAF 2025,A,"AGRICULTURE, SYLVICULTURE ET PÊCHE",01,"Culture et production animale, chasse et services annexes",01.2,Cultures permanentes,01.24,Culture de fruits à pépins et à noyau,01.24Y,Culture de fruits à pépins et à noyau,,,https://www.insee.fr/fr/metadonnees/naf2025/sousClasse/01.24Y,Insee — NAF 2025 — sous-classe 01.24Y
NAF 2025,A,"AGRICULTURE, SYLVICULTURE ET PÊCHE",01,"Culture et production animale, chasse et services annexes",01.2,Cultures permanentes,01.25,Culture d’autres fruits d’arbres ou d’arbustes et de fruits à coque,01.25Y,Culture d’autres fruits d’arbres ou d’arbustes et de fruits à coque,,,https://www.insee.fr/fr/metadonnees/naf2025/sousClasse/01.25Y,Insee — NAF 2025 — sous-classe 01.25Y
NAF 2025,A,"AGRICULTURE, SYLVICULTURE ET PÊCHE",01,"Culture et production animale, chasse et services annexes",01.2,Cultures permanentes,01.26,Culture de fruits oléagineux,01.26Y,Culture de fruits oléagineux,,,https://www.insee.fr/fr/metadonnees/naf2025/sousClasse/01.26Y,Insee — NAF 2025 — sous-classe 01.26Y
NAF 2025,A,"AGRICULTURE, SYLVICULTURE ET PÊCHE",01,"Culture et production animale, chasse et services annexes",01.2,Cultures permanentes,01.27,Culture de plantes à boissons,01.27Y,Culture de plantes à boissons,,,https://www.insee.fr/fr/metadonnees/naf2025/sousClasse/01.27Y,Insee — NAF 2025 — sous-classe 01.27Y
NAF 2025,A,"AGRICULTURE, SYLVICULTURE ET PÊCHE",01,"Culture et production animale, chasse et services annexes",01.2,Cultures permanentes,01.28,"Culture de plantes à épices, aromatiques, médicinales et pharmaceutiques",01.28Y,"Culture de plantes à épices, aromatiques, médicinales et pharmaceutiques",,,https://www.insee.fr/fr/metadonnees/naf2025/sousClasse/01.28Y,Insee — NAF 2025 — sous-classe 01.28Y
NAF 2025,A,"AGRICULTURE, SYLVICULTURE ET PÊCHE",01,"Culture et production animale, chasse et services annexes",01.2,Cultures permanentes,01.29,Autres cultures permanentes,01.29Y,Autres cultures permanentes,,,https://www.insee.fr/fr/metadonnees/naf2025/sousClasse/01.29Y,Insee — NAF 2025 — sous-classe 01.29Y
